month,feature_set,model,lasso__alpha,svr__C,svr__epsilon,svr__kernel,svr__gamma
2024-09-30,oil_augmented,SVR,,0.1,0.2,linear,
2024-09-30,oil_augmented,XGBoost,,,,,
2024-10-31,oil_augmented,MLR,,,,,
2024-10-31,oil_augmented,LASSO,0.0020565123083486517,,,,
2024-10-31,oil_augmented,SVR,,0.1,0.2,linear,
2024-10-31,oil_augmented,XGBoost,,,,,
2024-11-30,oil_augmented,MLR,,,,,
2024-11-30,oil_augmented,LASSO,0.037649358067924674,,,,
2024-11-30,oil_augmented,SVR,,0.1,0.2,linear,
2024-11-30,oil_augmented,XGBoost,,,,,
2024-12-31,oil_augmented,MLR,,,,,
2024-12-31,oil_augmented,LASSO,0.07564633275546291,,,,
2024-12-31,oil_augmented,SVR,,1.0,0.2,rbf,0.01
2024-12-31,oil_augmented,XGBoost,,,,,
2025-01-31,oil_augmented,MLR,,,,,
2025-01-31,oil_augmented,LASSO,0.029836472402833405,,,,
2025-01-31,oil_augmented,SVR,,10.0,0.2,linear,
2025-01-31,oil_augmented,XGBoost,,,,,
2025-02-28,oil_augmented,MLR,,,,,
2025-02-28,oil_augmented,LASSO,0.037649358067924674,,,,
2025-02-28,oil_augmented,SVR,,0.1,0.2,linear,
2025-02-28,oil_augmented,XGBoost,,,,,
2025-03-31,oil_augmented,MLR,,,,,
2025-03-31,oil_augmented,LASSO,0.04750810162102798,,,,
2025-03-31,oil_augmented,SVR,,0.1,0.2,linear,
2025-03-31,oil_augmented,XGBoost,,,,,
2025-04-30,oil_augmented,MLR,,,,,
2025-04-30,oil_augmented,LASSO,0.05336699231206307,,,,
2025-04-30,oil_augmented,SVR,,0.1,0.2,linear,
2025-04-30,oil_augmented,XGBoost,,,,,
2025-05-31,oil_augmented,MLR,,,,,
2025-05-31,oil_augmented,LASSO,0.04750810162102798,,,,
2025-05-31,oil_augmented,SVR,,0.1,0.2,linear,
2025-05-31,oil_augmented,XGBoost,,,,,
2025-06-30,oil_augmented,MLR,,,,,
2025-06-30,oil_augmented,LASSO,0.05336699231206307,,,,
2025-06-30,oil_augmented,SVR,,0.1,0.2,linear,
2025-06-30,oil_augmented,XGBoost,,,,,
2025-07-31,oil_augmented,MLR,,,,,
2025-07-31,oil_augmented,LASSO,0.05994842503189409,,,,
2025-07-31,oil_augmented,SVR,,0.1,0.2,linear,
2025-07-31,oil_augmented,XGBoost,,,,,
2025-08-31,oil_augmented,MLR,,,,,
2025-08-31,oil_augmented,LASSO,0.05994842503189409,,,,
2025-08-31,oil_augmented,SVR,,0.1,0.2,linear,
2025-08-31,oil_augmented,XGBoost,,,,,
2025-09-30,oil_augmented,MLR,,,,,
2025-09-30,oil_augmented,LASSO,0.04229242874389499,,,,
2025-09-30,oil_augmented,SVR,,0.1,0.1,linear,
2025-09-30,oil_augmented,XGBoost,,,,,
2025-10-31,oil_augmented,MLR,,,,,
2025-10-31,oil_augmented,LASSO,0.05336699231206307,,,,
2025-10-31,oil_augmented,SVR,,0.1,0.1,linear,
2025-10-31,oil_augmented,XGBoost,,,,,
2025-11-30,oil_augmented,MLR,,,,,
2025-11-30,oil_augmented,LASSO,0.04750810162102798,,,,
2025-11-30,oil_augmented,SVR,,0.1,0.1,linear,
2025-11-30,oil_augmented,XGBoost,,,,,
2025-12-31,oil_augmented,MLR,,,,,
2025-12-31,oil_augmented,LASSO,0.04229242874389499,,,,
2025-12-31,oil_augmented,SVR,,0.1,0.05,linear,
2025-12-31,oil_augmented,XGBoost,,,,,
2026-01-31,oil_augmented,MLR,,,,,
2026-01-31,oil_augmented,LASSO,0.04229242874389499,,,,
2026-01-31,oil_augmented,SVR,,0.1,0.1,linear,
2026-01-31,oil_augmented,XGBoost,,,,,
2026-02-28,oil_augmented,MLR,,,,,
2026-02-28,oil_augmented,LASSO,0.037649358067924674,,,,
2026-02-28,oil_augmented,SVR,,10.0,0.05,linear,
2026-02-28,oil_augmented,XGBoost,,,,,
2026-03-31,oil_augmented,MLR,,,,,
2026-03-31,oil_augmented,LASSO,0.029836472402833405,,,,
2026-03-31,oil_augmented,SVR,,10.0,0.05,linear,
2026-03-31,oil_augmented,XGBoost,,,,,
